TEAM_ID,TEAM_NAME,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner_3_FGM,Corner_3_FGA,Corner_3_FG_PCT,FTM,FTA,GP,MIN,POSS,Season
1610612737,Atlanta Hawks,1307,2153,0.607,391,956,0.409,605,1438,0.421,115,275,0.418,138,326,0.423,565,1548,0.365,0,3,0,253,601,0.421,1349,1735,82,3946,7775,2015
1610612738,Boston Celtics,1336,2233,0.598,377,962,0.392,820,1995,0.411,91,229,0.397,69,201,0.343,500,1573,0.318,0,16,0,160,430,0.372,1266,1678,82,3976,8007,2015
1610612751,Brooklyn Nets,1211,2054,0.59,638,1419,0.45,679,1698,0.4,104,257,0.405,77,216,0.356,360,1136,0.317,0,24,0,181,473,0.383,1359,1817,82,3986,7777,2015
1610612766,Charlotte Hornets,1089,1972,0.552,408,1050,0.389,918,2344,0.392,56,135,0.415,54,147,0.367,388,1268,0.306,0,16,0,110,282,0.39,1397,1867,82,3981,7753,2015
1610612741,Chicago Bulls,1322,2355,0.561,361,916,0.394,672,1700,0.395,83,224,0.371,78,183,0.426,483,1401,0.345,2,18,0.111,161,407,0.396,1618,2067,82,3976,7775,2015
1610612739,Cleveland Cavaliers,1338,2157,0.62,342,925,0.37,583,1403,0.416,124,342,0.363,120,323,0.372,580,1585,0.366,1,3,0.333,244,665,0.367,1453,1934,82,3956,7682,2015
1610612742,Dallas Mavericks,1411,2242,0.629,340,869,0.391,772,1842,0.419,106,263,0.403,87,227,0.383,538,1583,0.34,1,10,0.1,193,490,0.394,1386,1843,82,3976,7976,2015
1610612743,Denver Nuggets,1428,2415,0.591,414,1121,0.369,596,1589,0.375,84,260,0.323,83,233,0.356,493,1518,0.325,1,22,0.045,167,493,0.339,1462,1991,82,3976,8011,2015
1610612765,Detroit Pistons,1419,2490,0.57,416,1186,0.351,503,1319,0.381,100,249,0.402,102,266,0.383,501,1508,0.332,0,20,0,202,515,0.392,1292,1838,82,3966,7741,2015
1610612744,Golden State Warriors,1448,2234,0.648,408,1043,0.391,671,1643,0.408,102,250,0.408,128,258,0.496,653,1686,0.387,0,23,0,230,508,0.453,1313,1709,82,3946,8170,2015
1610612745,Houston Rockets,1428,2366,0.604,428,1054,0.406,243,731,0.332,156,414,0.377,196,485,0.404,581,1765,0.329,0,16,0,352,899,0.392,1525,2133,82,3961,8037,2015
1610612754,Indiana Pacers,1090,1890,0.577,432,1041,0.415,864,2153,0.401,98,253,0.387,83,219,0.379,431,1251,0.345,0,17,0,181,472,0.383,1373,1817,82,3971,7753,2015
1610612746,Los Angeles Clippers,1202,1847,0.651,332,781,0.425,867,2000,0.434,117,312,0.375,120,286,0.42,589,1591,0.37,0,10,0,237,598,0.396,1468,2067,82,3946,7844,2015
1610612747,Los Angeles Lakers,1288,2114,0.609,353,968,0.365,881,2392,0.368,57,143,0.399,58,148,0.392,417,1248,0.334,0,7,0,115,291,0.395,1433,1935,82,3986,7892,2015
1610612763,Memphis Grizzlies,1387,2276,0.609,546,1372,0.398,741,1868,0.397,67,174,0.385,60,161,0.373,294,891,0.33,2,21,0.095,127,335,0.379,1445,1869,82,3981,7696,2015
1610612748,Miami Heat,1248,2024,0.617,376,872,0.431,705,1776,0.397,86,263,0.327,116,278,0.417,353,1100,0.321,1,17,0.059,202,541,0.373,1438,1940,82,3946,7526,2015
1610612749,Milwaukee Bucks,1436,2446,0.587,320,856,0.374,782,1920,0.407,100,269,0.372,97,224,0.433,348,1003,0.347,0,4,0,197,493,0.4,1312,1734,82,3986,7867,2015
1610612750,Minnesota Timberwolves,1289,2154,0.598,405,1073,0.377,886,2370,0.374,62,172,0.36,39,105,0.371,304,933,0.326,0,12,0,101,277,0.365,1638,2110,82,3961,7873,2015
1610612740,New Orleans Pelicans,1500,2645,0.567,344,879,0.391,678,1688,0.402,86,191,0.45,74,197,0.376,425,1176,0.361,0,17,0,160,388,0.412,1345,1790,82,3956,7608,2015
1610612752,New York Knicks,1034,1842,0.561,334,881,0.379,954,2389,0.399,57,170,0.335,53,140,0.379,449,1288,0.349,1,16,0.063,110,310,0.355,1211,1575,82,3971,7618,2015
1610612760,Oklahoma City Thunder,1407,2386,0.59,435,1063,0.409,710,1805,0.393,93,243,0.383,84,225,0.373,454,1382,0.329,0,12,0,177,468,0.378,1524,2020,82,3966,7988,2015
1610612753,Orlando Magic,1384,2341,0.591,466,1190,0.392,672,1662,0.404,74,218,0.339,85,211,0.403,395,1159,0.341,0,11,0,159,429,0.371,1141,1565,82,3951,7773,2015
1610612755,Philadelphia 76ers,1394,2481,0.562,279,911,0.306,400,1225,0.327,79,232,0.341,60,175,0.343,553,1734,0.319,0,18,0,139,407,0.342,1320,1953,82,3961,7950,2015
1610612756,Phoenix Suns,1402,2260,0.62,352,902,0.39,726,1828,0.397,101,293,0.345,122,325,0.375,474,1412,0.336,1,18,0.056,223,618,0.361,1343,1767,82,3976,8058,2015
1610612757,Portland Trail Blazers,1206,1934,0.624,347,840,0.413,815,2044,0.399,126,315,0.4,95,253,0.375,583,1646,0.354,0,14,0,221,568,0.389,1272,1589,82,3971,7868,2015
1610612758,Sacramento Kings,1435,2374,0.604,414,1152,0.359,700,1741,0.402,69,179,0.385,82,229,0.358,310,930,0.333,0,12,0,151,408,0.37,1829,2400,82,3971,7952,2015
1610612759,San Antonio Spurs,1312,2119,0.619,533,1198,0.445,686,1690,0.406,112,274,0.409,116,267,0.434,449,1294,0.347,0,10,0,228,541,0.421,1368,1754,82,3991,7860,2015
1610612761,Toronto Raptors,1247,2011,0.62,515,1169,0.441,620,1589,0.39,134,330,0.406,92,231,0.398,500,1488,0.336,0,10,0,226,561,0.403,1585,2014,82,3971,7736,2015
1610612762,Utah Jazz,1389,2203,0.631,317,946,0.335,584,1563,0.374,94,237,0.397,94,264,0.356,421,1261,0.334,1,18,0.056,188,501,0.375,1391,1929,82,3941,7486,2015
1610612764,Washington Wizards,1348,2116,0.637,353,922,0.383,941,2371,0.397,68,208,0.327,76,184,0.413,353,977,0.361,0,12,0,144,392,0.367,1305,1758,82,3991,7844,2015
1610612737,Atlanta Hawks,1461,2422,0.603,317,806,0.393,573,1366,0.419,95,271,0.351,115,307,0.375,604,1736,0.348,1,12,0.083,210,578,0.363,1282,1638,82,3966,8059,2016
1610612738,Boston Celtics,1509,2507,0.602,373,1002,0.372,617,1667,0.37,96,254,0.378,82,255,0.322,539,1619,0.333,0,12,0,178,509,0.35,1520,1929,82,3956,8191,2016
1610612751,Brooklyn Nets,1291,2188,0.59,602,1389,0.433,712,1835,0.388,91,244,0.373,92,228,0.404,347,1021,0.34,0,13,0,183,472,0.388,1286,1699,82,3951,7903,2016
1610612766,Charlotte Hornets,1177,2028,0.58,363,893,0.406,623,1591,0.392,97,232,0.418,78,193,0.404,697,1975,0.353,1,9,0.111,175,425,0.412,1534,1941,82,3971,7966,2016
1610612741,Chicago Bulls,1288,2317,0.556,393,1027,0.383,833,2072,0.402,76,215,0.353,84,186,0.452,490,1337,0.366,1,16,0.063,160,401,0.399,1354,1720,82,3981,8008,2016
1610612739,Cleveland Cavaliers,1309,2055,0.637,372,938,0.397,610,1467,0.416,122,313,0.39,139,349,0.398,616,1756,0.351,1,5,0.2,261,662,0.394,1333,1783,82,3971,7764,2016
1610612742,Dallas Mavericks,1161,1871,0.621,397,953,0.417,700,1735,0.403,112,314,0.357,89,205,0.434,603,1803,0.334,0,17,0,201,519,0.387,1454,1831,82,4001,7950,2016
1610612743,Denver Nuggets,1526,2682,0.569,354,923,0.384,557,1454,0.383,87,242,0.36,58,182,0.319,508,1501,0.338,2,18,0.111,145,424,0.342,1513,1974,82,3966,7963,2016
1610612765,Detroit Pistons,1313,2232,0.588,470,1229,0.382,588,1478,0.398,92,280,0.329,118,291,0.405,529,1543,0.343,1,30,0.033,210,571,0.368,1399,2095,82,3976,7942,2016
1610612744,Golden State Warriors,1486,2338,0.636,344,887,0.388,582,1342,0.434,127,312,0.407,125,298,0.419,820,1956,0.419,2,22,0.091,252,610,0.413,1366,1790,82,3976,8303,2016
1610612745,Houston Rockets,1513,2472,0.612,362,942,0.384,341,899,0.379,135,354,0.381,150,445,0.337,592,1707,0.347,0,22,0,285,799,0.357,1671,2407,82,3966,8139,2016
1610612754,Indiana Pacers,1297,2094,0.619,378,886,0.427,804,2116,0.38,120,315,0.381,93,225,0.413,443,1321,0.335,0,13,0,213,540,0.394,1430,1872,82,3976,8068,2016
1610612746,LA Clippers,1226,1881,0.652,319,775,0.412,799,1913,0.418,114,282,0.404,107,246,0.435,563,1615,0.349,0,14,0,221,528,0.419,1490,2152,82,3966,7995,2016
1610612747,Los Angeles Lakers,1126,1999,0.563,438,1088,0.403,677,1854,0.365,72,222,0.324,58,181,0.32,505,1583,0.319,0,20,0,130,403,0.323,1583,2028,82,3946,7930,2016
1610612763,Memphis Grizzlies,1345,2386,0.564,459,1200,0.383,711,1752,0.406,76,221,0.344,60,202,0.297,364,1075,0.339,3,22,0.136,136,423,0.322,1584,2024,82,3966,7763,2016
1610612748,Miami Heat,1451,2222,0.653,453,1139,0.398,748,1856,0.403,90,282,0.319,113,287,0.394,292,892,0.327,1,15,0.067,203,569,0.357,1406,1889,82,3966,7779,2016
1610612749,Milwaukee Bucks,1625,2704,0.601,448,1105,0.405,632,1654,0.382,69,196,0.352,65,184,0.353,303,870,0.348,0,13,0,134,380,0.353,1392,1863,82,3966,7858,2016
1610612750,Minnesota Timberwolves,1398,2196,0.637,410,964,0.425,832,2160,0.385,67,175,0.383,42,110,0.382,345,1053,0.328,0,8,0,109,285,0.382,1753,2213,82,3976,7965,2016
1610612740,New Orleans Pelicans,1344,2324,0.578,355,939,0.378,752,1825,0.412,79,234,0.338,72,223,0.323,549,1478,0.371,1,12,0.083,151,457,0.33,1415,1823,82,3956,8041,2016
1610612752,New York Knicks,1078,1886,0.572,388,961,0.404,946,2277,0.415,101,234,0.432,70,185,0.378,438,1326,0.33,0,13,0,171,419,0.408,1411,1753,82,3961,7763,2016
1610612760,Oklahoma City Thunder,1534,2528,0.607,421,912,0.462,739,1696,0.436,106,293,0.362,102,291,0.351,470,1354,0.347,0,6,0,208,584,0.356,1616,2067,82,3966,8061,2016
1610612753,Orlando Magic,1352,2252,0.6,435,1051,0.414,819,2000,0.41,87,246,0.354,79,206,0.383,470,1341,0.35,0,21,0,166,452,0.367,1249,1649,82,3981,8018,2016
