TEAM_ID,TEAM_NAME,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner_3_FGM,Corner_3_FGA,Corner_3_FG_PCT,FTM,FTA,GP,MIN,POSS,Season
1610612759,San Antonio Spurs,67,100,0.67,30,72,0.417,34,106,0.321,10,19,0.526,2,13,0.154,30,106,0.283,0,3,0,12,32,0.375,96,115,5,240,474,2018
1610612761,Toronto Raptors,176,301,0.585,73,145,0.503,36,110,0.327,10,22,0.455,16,39,0.41,78,204,0.382,0,2,0,26,61,0.426,191,239,10,485,963,2018
1610612762,Utah Jazz,225,356,0.632,33,134,0.246,39,93,0.419,15,37,0.405,26,53,0.491,77,237,0.325,0,2,0,41,90,0.456,178,259,11,528,1080,2018
1610612764,Washington Wizards,93,158,0.589,40,77,0.519,57,145,0.393,8,12,0.667,4,12,0.333,36,104,0.346,0,3,0,12,24,0.5,119,140,6,288,586,2018
1610612738,Boston Celtics,108,189,0.571,45,121,0.372,66,150,0.44,15,36,0.417,12,31,0.387,75,227,0.33,0,3,0,27,67,0.403,175,218,9,432,906,2019
1610612751,Brooklyn Nets,96,167,0.575,24,82,0.293,17,38,0.447,3,11,0.273,2,6,0.333,50,152,0.329,0,1,0,5,17,0.294,118,146,5,240,527,2019
1610612743,Denver Nuggets,236,398,0.593,118,303,0.389,72,176,0.409,9,39,0.231,11,34,0.324,113,311,0.363,0,2,0,20,73,0.274,276,353,14,692,1349,2019
1610612765,Detroit Pistons,54,119,0.454,26,72,0.361,26,63,0.413,5,18,0.278,9,23,0.391,30,91,0.33,0,1,0,14,41,0.341,48,66,4,192,405,2019
1610612744,Golden State Warriors,367,513,0.715,99,254,0.39,171,411,0.416,30,75,0.4,31,77,0.403,206,551,0.374,0,14,0,61,152,0.401,435,535,22,1066,2192,2019
1610612745,Houston Rockets,151,237,0.637,70,172,0.407,16,44,0.364,18,45,0.4,22,52,0.423,132,367,0.36,0,5,0,40,97,0.412,204,267,11,533,1081,2019
1610612754,Indiana Pacers,63,112,0.563,11,34,0.324,20,69,0.29,4,12,0.333,4,8,0.5,32,99,0.323,0,0,0,8,20,0.4,59,82,4,192,383,2019
